,area_type,availability,society,total_sqft,bath,balcony,price,site_location,total_sqft_normalized,bhk
3295,Super built-up  Area,0,77.0457621889025,1083.0,2.0,1.0,32.49,Bibvewadi,0.020699814428650685,2
3296,Super built-up  Area,1,94.84597995716035,1460.0,2.0,2.0,65.0,Bopodi,0.0279122266648811,3
3297,Super built-up  Area,1,128.2697082088187,1084.0,2.0,1.0,58.0,Budhwar Peth,0.02071894549559029,2
3298,Super built-up  Area,0,59.72690271364193,1035.0,2.0,1.0,41.43,Bund Garden Road,0.01978152321554973,2
3299,Super built-up  Area,1,128.2697082088187,2400.0,2.0,1.0,150.0,Camp,0.045895429588108126,3
3300,Super built-up  Area,1,97.27864328335374,460.0,1.0,1.0,21.0,Chandan Nagar,0.00878115972527788,1
3301,Super built-up  Area,1,128.2697082088187,950.0,5.0,2.0,90.0,Dapodi,0.018155382525683456,5
3302,Super built-up  Area,1,86.50218597001225,1285.0,2.0,2.0,55.9,Deccan Gymkhana,0.024564289950450537,2
3303,Super built-up  Area,1,128.2697082088187,2000.0,16.0,2.0,490.0,Dehu Road,0.03824300281226684,19
3304,Plot  Area,1,102.23883710001749,1200.0,3.0,2.0,78.0,Dhankawadi,0.022938149260584264,1
3305,Built-up  Area,1,99.61197661668707,1070.0,2.0,1.0,35.0,Dhayari Phata,0.020451110558435844,2
3306,Super built-up  Area,1,121.97812398000816,1801.0,3.0,2.0,140.0,Dhole Patil Road,0.0344359204912858,3
3307,Super built-up  Area,0,109.03459402982672,1697.0,3.0,2.0,115.0,Erandwane,0.03244628952956707,3
3308,Super built-up  Area,1,104.61197661668707,1199.0,2.0,2.0,65.0,Fatima Nagar,0.02291901819364466,2
3309,Super built-up  Area,1,240.87746630000646,2300.0,3.0,1.0,220.0,Fergusson College Road,0.04398232289414781,3
3310,Super built-up  Area,1,128.2697082088187,1340.0,2.0,3.0,64.31,Ganesh Peth,0.025616498632128715,3
3311,Super built-up  Area,1,172.63790694348359,3800.0,4.0,3.0,205.0,Ganeshkhind,0.07267892330355263,4
3312,Plot  Area,1,128.2697082088187,600.0,5.0,2.0,50.0,Ghorpade Peth,0.01145950909682233,1
3313,Super built-up  Area,1,113.23883710001749,1125.0,2.0,1.0,75.0,Ghorpadi,0.021503319240114022,2
3314,Plot  Area,1,128.2697082088187,1200.0,2.0,1.0,67.0,Gokhale Nagar,0.022938149260584264,1
3315,Built-up  Area,1,92.66740852858892,1050.0,2.0,3.0,41.0,Gultekdi,0.02006848921964378,2
3316,Built-up  Area,1,101.94530995002042,956.0,2.0,1.0,49.0,Guruwar peth,0.018270168927321077,2
3317,Super built-up  Area,1,69.51432164167687,1000.0,2.0,2.0,30.0,Hadapsar,0.01911193587266362,2
3318,Built-up  Area,1,117.51909552223583,1596.0,3.0,0.0,95.0,Hadapsar Industrial Estate,0.030514051768667137,3
3319,Plot  Area,1,128.2697082088187,1200.0,5.0,1.0,150.0,Hingne Khurd,0.022938149260584264,1
3320,Super built-up  Area,0,108.48178826552147,1296.0,2.0,3.0,89.06,Jangali Maharaj Road,0.02477473168678617,2
3321,Plot  Area,1,128.2697082088187,1200.0,7.0,2.0,170.0,Kalyani Nagar,0.022938149260584264,1
3322,Built-up  Area,1,114.27864328335374,1639.0,3.0,3.0,123.0,Karve Nagar,0.03133668764707008,3
3323,Super built-up  Area,1,83.17218597001224,1219.0,2.0,1.0,61.25,Karve Road,0.023301639532436726,2
3324,Built-up  Area,1,128.2697082088187,1200.0,3.0,1.0,50.0,Kasba Peth,0.022938149260584264,3
3325,Super built-up  Area,1,128.2697082088187,1218.0,2.0,1.0,73.0,Katraj,0.02328250846549712,2
3326,Super built-up  Area,1,128.2697082088187,920.0,2.0,3.0,37.0,Khadaki,0.01758145051749536,2
3327,Super built-up  Area,1,81.66943719400246,2559.0,3.0,2.0,141.0,Khadki,0.04893726923150504,3
3328,Super built-up  Area,0,128.2697082088187,525.0,1.0,1.0,26.0,Kharadi,0.010024679076352088,1
3329,Super built-up  Area,0,74.45168151539404,1427.0,2.0,2.0,48.51,Kondhwa,0.027280901455874196,3
3330,Super built-up  Area,0,128.2697082088187,1270.0,3.0,2.0,45.0,Kondhwa Budruk,0.02427732394635649,3
3331,Built-up  Area,1,100.38169424287464,920.0,2.0,3.0,65.0,Kondhwa Khurd,0.01758145051749536,2
3332,Built-up  Area,1,128.2697082088187,2700.0,3.0,2.0,68.0,Koregaon Park,0.05163474966998909,1
3333,Super built-up  Area,1,128.2697082088187,1740.0,3.0,2.0,199.0,Kothrud,0.03326892540797,3
3334,Built-up  Area,1,128.2697082088187,1355.0,2.0,2.0,40.0,Law College Road,0.025903464636222763,3
3335,Super built-up  Area,1,116.0878466555601,1530.0,2.0,2.0,90.0,Laxmi Road,0.029251401350653326,3
3336,Carpet  Area,1,128.2697082088187,1372.0,2.0,1.0,90.0,Lulla Nagar,0.026228692774196018,3
3337,Super built-up  Area,1,103.63020663334694,2363.0,5.0,2.0,120.0,Mahatma Gandhi Road,0.04518758011134281,4
3338,Super built-up  Area,1,172.63790694348359,3895.0,4.0,3.0,220.0,Mangalwar peth,0.07449637466281495,4
3339,Super built-up  Area,0,166.28245074616328,1950.0,3.0,2.0,131.0,Manik Bagh,0.037286449465286677,3
3340,Built-up  Area,1,89.45898246251531,885.0,2.0,3.0,40.0,Market yard,0.016911863174609246,2
3341,Built-up  Area,1,128.2697082088187,600.0,2.0,2.0,27.0,Model colony,0.01145950909682233,2
3342,Plot  Area,1,128.2697082088187,1270.0,4.0,1.0,128.0,Mukund Nagar,0.02427732394635649,1
3343,Plot  Area,1,128.2697082088187,1380.0,2.0,0.0,225.0,Mundhawa,0.026381741309712842,1
3344,Super built-up  Area,1,84.9594502939431,1339.0,2.0,2.0,62.0,Nagar Road,0.02559736756518911,2
3345,Super built-up  Area,1,59.057992615795925,1130.0,2.0,1.0,36.0,Nana Peth,0.021598974574812038,2
3346,Built-up  Area,1,128.2697082088187,1085.0,2.0,2.0,43.0,Narayan Peth,0.020738076562529892,2
3347,Built-up  Area,1,81.66943719400246,1430.0,3.0,2.0,72.0,Narayangaon,0.027338294656693005,3
3348,Carpet  Area,0,92.44491947949031,1451.5,4.0,1.0,121.0,Navi Peth,0.027749612595894473,4
3349,Super built-up  Area,1,246.40798441112474,6200.0,5.0,2.0,720.0,Padmavati,0.11859348395860037,5
3350,Super built-up  Area,1,128.2697082088187,1490.0,2.0,1.0,59.6,Parvati Darshan,0.0284861586730692,3
3351,Built-up  Area,1,128.2697082088187,1650.0,4.0,0.0,99.0,Pashan,0.03154712938340571,4
3352,Super built-up  Area,1,128.2697082088187,1286.0,2.0,2.0,57.0,Paud Road,0.02458342101739014,2
3353,Built-up  Area,1,104.27864328335374,925.0,2.0,2.0,63.0,Pirangut,0.017677105852193377,2
3354,Super built-up  Area,1,132.1119766166871,3016.0,4.0,3.0,230.0,Prabhat Road,0.057680166822903715,4
3355,Built-up  Area,1,128.2697082088187,1000.0,2.0,2.0,44.0,Pune Railway Station,0.01911193587266362,2
3356,Super built-up  Area,1,57.41246950952964,1215.0,2.0,2.0,39.0,Rasta Peth,0.02322511526467831,2
3357,Plot  Area,1,128.2697082088187,1200.0,3.0,1.0,95.0,Raviwar Peth,0.022938149260584264,1
3358,Super built-up  Area,1,110.09597995716035,1336.0,2.0,2.0,100.0,Sadashiv Peth,0.0255399743643703,2
3359,Super built-up  Area,1,81.66943719400246,673.0,1.0,1.0,36.85,Sahakar Nagar,0.012856076983413366,1
3360,Plot  Area,1,128.2697082088187,1200.0,2.0,1.0,58.0,Salunke Vihar,0.022938149260584264,1
3361,Plot  Area,1,128.2697082088187,600.0,7.0,2.0,63.0,Sasson Road,0.01145950909682233,1
3362,Super built-up  Area,1,128.2697082088187,1600.0,3.0,3.0,160.0,Satara Road,0.03059057603642555,3
3363,Plot  Area,1,128.2697082088187,1200.0,2.0,0.0,79.0,Senapati Bapat Road,0.022938149260584264,1
3364,Plot  Area,1,128.2697082088187,2480.0,4.0,1.0,750.0,Shaniwar Peth,0.04742591494327639,1
3365,Super built-up  Area,0,128.2697082088187,2500.0,3.0,2.0,270.0,Shivaji Nagar,0.04780853628206845,3
3366,Plot  Area,1,128.2697082088187,2400.0,5.0,3.0,100.0,Shukrawar Peth,0.045895429588108126,1
3367,Super built-up  Area,1,128.2697082088187,1143.0,2.0,2.0,65.0,Sinhagad Road,0.02184767844502688,2
3368,Super built-up  Area,1,68.75633884857493,1470.0,2.0,2.0,61.74,Somwar Peth,0.02810353733427713,2
3369,Plot  Area,1,128.2697082088187,1584.0,3.0,2.0,145.0,Swargate,0.0302844789653919,1
3370,Super built-up  Area,1,101.07465107779139,1785.0,3.0,2.0,94.0,Tilak Road,0.03412982342025215,3
3371,Super built-up  Area,1,128.2697082088187,2292.0,3.0,2.0,286.0,Uruli Devachi,0.04382927435863098,3
3372,Super built-up  Area,1,128.2697082088187,1460.0,3.0,3.0,71.0,Vadgaon Budruk,0.0279122266648811,3
3373,Super built-up  Area,1,128.2697082088187,1500.0,2.0,3.0,80.0,Wadgaon Sheri,0.02867746934246523,3
3374,Plot  Area,1,128.2697082088187,1200.0,4.0,1.0,140.0,Viman Nagar,0.022938149260584264,1
3375,Built-up  Area,1,128.2697082088187,3300.0,3.0,2.0,250.0,Vishrant Wadi,0.06311338983375103,5
3376,Super built-up  Area,1,128.2697082088187,1230.0,2.0,2.0,48.0,Wagholi,0.02351208126877236,2
3377,Super built-up  Area,1,55.45859298500612,650.0,1.0,1.0,20.0,Wakadewadi,0.012416062443802492,1
3378,Super built-up  Area,1,128.2697082088187,1480.0,2.0,2.0,120.0,Wanowrie,0.028294848003673163,2
3379,Super built-up  Area,1,56.76358410882713,1220.0,2.0,1.0,43.92,Warje,0.023320770599376327,2
3380,Super built-up  Area,1,117.51909552223583,1570.0,3.0,1.0,115.0,Yerawada,0.030016644028237456,3
3381,Built-up  Area,1,128.2697082088187,3000.0,3.0,3.0,400.0,Alandi Road,0.05737406975187006,3
3382,Super built-up  Area,1,103.89523246251531,1665.0,3.0,2.0,86.91,Ambegaon Budruk,0.03183409538749976,3
3383,Plot  Area,1,128.2697082088187,1350.0,3.0,1.0,380.0,Anandnagar,0.025807809301524747,1
3384,Plot  Area,1,249.6112347547648,4000.0,5.0,2.0,600.0,Aundh,0.07650513669147328,1
3385,Plot  Area,1,128.2697082088187,1100.0,2.0,0.0,68.0,Aundh Road,0.02102504256662394,1
3386,Super built-up  Area,1,91.6365614071516,1350.0,2.0,1.0,87.01,Balaji Nagar,0.025807809301524747,3
3387,Built-up  Area,1,114.56718597001225,1719.0,3.0,2.0,116.0,Baner,0.032867173002238334,3
3388,Super built-up  Area,1,75.01267659811552,664.0,1.0,1.0,35.0,Baner road,0.012683897380956936,1
3389,Super built-up  Area,0,76.24128586471309,1011.0,2.0,1.0,50.53,Bhandarkar Road,0.019322377608999255,2
3390,Built-up  Area,1,128.2697082088187,2400.0,6.0,0.0,130.0,Bhavani Peth,0.045895429588108126,1
3391,Super built-up  Area,1,128.2697082088187,1680.0,3.0,2.0,85.0,Bibvewadi,0.03212106139159381,3
3392,Plot  Area,1,128.2697082088187,700.0,4.0,2.0,110.0,Budhwar Peth,0.013372615790782652,1
3393,Super built-up  Area,1,118.77864328335374,1520.0,2.0,2.0,150.0,Bund Garden Road,0.029060090681257294,3
3394,Carpet  Area,1,102.61197661668707,1350.0,2.0,2.0,53.0,Camp,0.025807809301524747,3
3395,Super built-up  Area,0,112.1484366500068,1760.0,3.0,2.0,150.0,Chandan Nagar,0.033651546746762066,3
3396,Super built-up  Area,1,84.02148246251531,875.0,2.0,1.0,33.0,Dapodi,0.016720552505213215,2
3397,Super built-up  Area,1,94.38169424287464,1231.0,2.0,2.0,48.0,Deccan Gymkhana,0.02353121233571196,2
3398,Super built-up  Area,1,100.52455138573178,1174.0,2.0,3.0,74.0,Dehu Road,0.02244074152015458,2
3399,Built-up  Area,1,106.27864328335374,1560.0,3.0,3.0,75.0,Dhankawadi,0.02982533335884142,3
3400,Super built-up  Area,1,128.2697082088187,1464.0,2.0,2.0,56.0,Dhayari Phata,0.027988750932639514,2
3401,Plot  Area,1,128.2697082088187,2200.0,3.0,2.0,130.0,Dhole Patil Road,0.042069216200187484,1
3402,Built-up  Area,1,128.2697082088187,850.0,2.0,2.0,55.0,Erandwane,0.016242275831723135,2
3403,Built-up  Area,1,123.77864328335374,1750.0,3.0,1.0,180.0,Fatima Nagar,0.033460236077366035,3
3404,Super built-up  Area,1,109.96353996668027,2024.0,3.0,2.0,157.0,Fergusson College Road,0.03870214841881732,3
3405,Plot  Area,1,128.2697082088187,1500.0,1.0,0.0,160.0,Ganesh Peth,0.02867746934246523,1
3406,Plot  Area,1,128.2697082088187,2100.0,6.0,2.0,275.0,Ganeshkhind,0.04015610950622716,1
3407,Super built-up  Area,1,260.51321997693253,2408.0,4.0,2.0,260.0,Ghorpade Peth,0.046048478123624954,3
3408,Super built-up  Area,1,85.75020663334693,1080.0,2.0,1.0,44.0,Ghorpadi,0.020642421227831876,2
3409,Super built-up  Area,1,128.2697082088187,2070.0,3.0,2.0,225.0,Gokhale Nagar,0.039582177498039064,3
3410,Built-up  Area,0,128.2697082088187,1020.0,2.0,1.0,29.46,Gultekdi,0.019494557211455682,2
3411,Super built-up  Area,1,53.86099730192542,1500.0,2.0,3.0,55.0,Guruwar peth,0.02867746934246523,3
3412,Plot  Area,1,128.2697082088187,1575.0,5.0,1.0,158.0,Hadapsar,0.030112299362935472,1
3413,Plot  Area,1,128.2697082088187,3250.0,4.0,1.0,180.0,Hadapsar Industrial Estate,0.06215683648677087,1
3414,Super built-up  Area,1,128.2697082088187,1175.0,2.0,1.0,47.0,Hingne Khurd,0.02245987258709418,2
3415,Super built-up  Area,1,56.3543084052696,1030.0,2.0,1.0,34.5,Jangali Maharaj Road,0.019685867880851714,2
3416,Super built-up  Area,0,117.68957156316435,1440.0,2.0,1.0,115.0,Kalyani Nagar,0.027529605326089036,2
3417,Built-up  Area,1,101.42471451819296,1500.0,2.0,1.0,84.0,Karve Nagar,0.02867746934246523,2
3418,Plot  Area,1,128.2697082088187,1380.0,1.0,1.0,62.1,Karve Road,0.026381741309712842,1
3419,Built-up  Area,1,95.66740852858892,1200.0,2.0,3.0,50.0,Kasba Peth,0.022938149260584264,2
3420,Built-up  Area,1,128.2697082088187,705.0,1.0,2.0,36.5,Katraj,0.013468271125480668,1
3421,Super built-up  Area,1,98.20224561562884,2240.0,5.0,2.0,155.0,Khadaki,0.04283445887777161,3
3422,Super built-up  Area,1,111.06718597001225,1584.01,3.0,1.0,103.0,Khadki,0.030284670276061295,3
3423,Super built-up  Area,1,106.61197661668707,1340.0,3.0,3.0,77.0,Kharadi,0.025616498632128715,3
3424,Super built-up  Area,1,105.44530995002042,1800.0,3.0,2.0,70.0,Kondhwa,0.03441678942434619,3
3425,Super built-up  Area,1,128.2697082088187,1200.0,2.0,3.0,45.0,Kondhwa Budruk,0.022938149260584264,2
3426,Super built-up  Area,0,67.73087438800489,685.0,1.0,1.0,40.0,Kondhwa Khurd,0.013085649786688604,1
3427,Super built-up  Area,1,76.82091228462481,925.0,2.0,3.0,42.0,Koregaon Park,0.017677105852193377,2
3428,Super built-up  Area,1,96.83398246251531,1230.0,2.0,2.0,57.0,Kothrud,0.02351208126877236,2
3429,Plot  Area,1,128.2697082088187,1200.0,5.0,1.0,185.0,Law College Road,0.022938149260584264,1
3430,Super built-up  Area,1,102.44530995002042,1125.0,2.0,1.0,52.0,Laxmi Road,0.021503319240114022,2
3431,Super built-up  Area,1,128.2697082088187,1100.0,2.0,1.0,54.0,Lulla Nagar,0.02102504256662394,2
3432,Plot  Area,0,134.52455138573177,2400.0,3.0,2.0,149.0,Mahatma Gandhi Road,0.045895429588108126,1
3433,Super built-up  Area,0,40.03784155781442,1400.0,2.0,2.0,41.58,Mangalwar peth,0.026764362648504906,3
3434,Plot  Area,1,128.2697082088187,1200.0,7.0,2.0,225.0,Manik Bagh,0.022938149260584264,1
3435,Super built-up  Area,1,114.24941855000874,1858.0,3.0,1.0,98.3,Market yard,0.03552639130684318,3
3436,Plot  Area,1,128.2697082088187,1260.0,1.0,1.0,41.0,Model colony,0.024086013276960454,1
3437,Built-up  Area,1,125.06430229615856,3530.0,4.0,2.0,290.0,Mukund Nagar,0.06751353522985977,4
3438,Super built-up  Area,1,128.2697082088187,1185.0,2.0,2.0,60.0,Mundhawa,0.022651183256490213,2
3439,Plot  Area,1,128.2697082088187,1200.0,2.0,1.0,216.0,Nagar Road,0.022938149260584264,1
3440,Super built-up  Area,1,128.2697082088187,1255.0,2.0,1.0,58.0,Nana Peth,0.02399035794226244,2
3441,Super built-up  Area,1,128.2697082088187,3436.0,6.0,3.0,475.0,Narayan Peth,0.06571521493753707,4
3442,Built-up  Area,1,97.96353996668027,1335.0,3.0,2.0,89.0,Narayangaon,0.025520843297430696,3
3443,Super built-up  Area,1,128.2697082088187,1999.0,3.0,2.0,132.0,Navi Peth,0.03822387174532724,3
3444,Plot  Area,1,128.2697082088187,1200.0,2.0,1.0,125.0,Padmavati,0.022938149260584264,1
3445,Super built-up  Area,1,107.52696067931457,1397.0,3.0,2.0,110.0,Parvati Darshan,0.026706969447686097,3
3446,Plot  Area,1,111.27864328335374,1200.0,10.0,2.0,105.0,Pashan,0.022938149260584264,1
3447,Super built-up  Area,1,128.2697082088187,3950.0,4.0,2.0,450.0,Paud Road,0.07554858334449312,4
3448,Plot  Area,1,55.45859298500612,1200.0,2.0,1.0,130.0,Pirangut,0.022938149260584264,1
3449,Plot  Area,1,128.2697082088187,1616.0,3.0,0.0,95.0,Prabhat Road,0.030896673107459204,1
3450,Plot  Area,1,128.2697082088187,1200.0,7.0,2.0,350.0,Pune Railway Station,0.022938149260584264,1
3451,Built-up  Area,1,128.2697082088187,1270.0,2.0,1.0,175.0,Rasta Peth,0.02427732394635649,1
3452,Super built-up  Area,1,51.87343364353085,1140.0,2.0,2.0,38.55,Raviwar Peth,0.02179028524420807,2
3453,Super built-up  Area,0,49.165813943422656,525.0,1.0,1.0,30.0,Sadashiv Peth,0.010024679076352088,1
3454,Plot  Area,1,128.2697082088187,1200.0,2.0,1.0,98.0,Sahakar Nagar,0.022938149260584264,1
3455,Built-up  Area,1,128.2697082088187,700.0,1.0,1.0,162.0,Salunke Vihar,0.013372615790782652,1
3456,Super built-up  Area,0,67.37528237381245,1205.47,2.0,1.0,81.0,Sasson Road,0.023042796196743893,2
3457,Plot  Area,1,128.2697082088187,1200.0,3.0,2.0,130.0,Satara Road,0.022938149260584264,1
3458,Super built-up  Area,1,100.38169424287464,1700.0,3.0,2.0,75.0,Senapati Bapat Road,0.032503682730385876,3
3459,Plot  Area,1,128.2697082088187,750.0,4.0,0.0,62.0,Shaniwar Peth,0.014329169137762813,1
3460,Super built-up  Area,0,76.25220314211171,1090.0,2.0,1.0,54.54,Shivaji Nagar,0.020833731897227908,2
3461,Super built-up  Area,1,81.66943719400246,3600.0,5.0,2.0,220.0,Shukrawar Peth,0.068852709915632,4
3462,Built-up  Area,1,128.2697082088187,2400.0,1.0,0.0,650.0,Sinhagad Road,0.045895429588108126,1
3463,Super built-up  Area,0,77.46387822647418,923.0,1.0,1.0,60.84,Somwar Peth,0.01763884371831417,1
3464,Super built-up  Area,0,168.9531228143032,3595.0,6.0,2.0,360.0,Swargate,0.06875705458093398,4
3465,Super built-up  Area,1,101.77864328335374,1050.0,2.0,2.0,48.0,Tilak Road,0.02006848921964378,2
3466,Super built-up  Area,1,109.94510331667347,1495.0,2.0,2.0,79.5,Uruli Devachi,0.028581814007767214,2
3467,Built-up  Area,1,128.2697082088187,1485.0,3.0,2.0,85.0,Wadgaon Sheri,0.02839050333837118,3
3468,Super built-up  Area,0,128.2697082088187,1033.0,2.0,2.0,31.5,Viman Nagar,0.019743261081670526,3
3469,Super built-up  Area,1,70.05370426429445,1400.0,2.0,1.0,48.0,Vishrant Wadi,0.026764362648504906,3
3470,Built-up  Area,1,128.2697082088187,500.0,1.0,0.0,70.0,Wagholi,0.009546402402862008,1
3471,Super built-up  Area,1,88.20898246251531,944.0,2.0,1.0,35.0,Wakadewadi,0.01804059612404584,2
3472,Built-up  Area,1,128.2697082088187,3250.0,5.0,0.0,290.0,Wanowrie,0.06215683648677087,1
3473,Super built-up  Area,0,109.03459402982672,1216.0,2.0,1.0,66.48,Warje,0.023244246331617913,2
3474,Super built-up  Area,1,128.2697082088187,1100.0,2.0,1.0,39.5,Yerawada,0.02102504256662394,2
3475,Super built-up  Area,1,100.72353996668028,1743.0,3.0,2.0,93.25,Alandi Road,0.03332631860878881,3
3476,Super built-up  Area,1,68.79957156316433,1274.0,2.0,2.0,48.42,Ambegaon Budruk,0.0243538482141149,2
3477,Super built-up  Area,1,128.2697082088187,2500.0,3.0,2.0,425.0,Anandnagar,0.04780853628206845,3
3478,Super built-up  Area,1,105.70898246251531,1512.0,2.0,2.0,110.0,Aundh,0.02890704214574047,3
3479,Super built-up  Area,1,128.2697082088187,3100.0,5.0,1.0,385.0,Aundh Road,0.059287176445830383,4
3480,Super built-up  Area,1,128.2697082088187,1650.0,3.0,3.0,100.0,Balaji Nagar,0.03154712938340571,3
3481,Built-up  Area,1,102.94530995002042,1875.0,3.0,1.0,55.0,Baner,0.035851619444816435,3
3482,Built-up  Area,1,128.2697082088187,1350.0,3.0,2.0,54.0,Baner road,0.025807809301524747,3
3483,Super built-up  Area,1,128.2697082088187,1219.0,2.0,2.0,40.0,Bhandarkar Road,0.023301639532436726,2
3484,Plot  Area,1,128.2697082088187,1200.0,4.0,1.0,150.0,Bhavani Peth,0.022938149260584264,1
3485,Plot  Area,1,128.2697082088187,2400.0,3.0,3.0,85.0,Bibvewadi,0.045895429588108126,1
3486,Super built-up  Area,1,128.2697082088187,1141.0,2.0,1.0,44.4,Bopodi,0.021809416311147672,2
3487,Super built-up  Area,1,69.7954573133415,1151.0,2.0,1.0,43.1,Budhwar Peth,0.022000726980543703,2
3488,Plot  Area,1,119.90513283572304,832.0,3.0,1.0,77.0,Bund Garden Road,0.01589791662681028,1
3489,Super built-up  Area,1,60.08216082083843,915.0,2.0,1.0,38.0,Camp,0.017485795182797345,2
3490,Plot  Area,1,128.2697082088187,3259.0,3.0,0.0,270.0,Chandan Nagar,0.06232901608922729,1
3491,Super built-up  Area,0,49.165813943422656,1115.0,2.0,1.0,65.12,Dapodi,0.02131200857071799,2
3492,Super built-up  Area,1,163.15485463750218,2072.0,4.0,2.0,139.0,Deccan Gymkhana,0.039620439631918275,3
3493,Super built-up  Area,1,102.61197661668707,1200.0,2.0,2.0,53.0,Dehu Road,0.022938149260584264,2
3494,Super built-up  Area,1,104.61197661668707,1300.0,2.0,2.0,65.0,Dhankawadi,0.024851255954544585,2
3495,Super built-up  Area,1,107.94530995002042,1457.0,2.0,2.0,85.0,Dhayari Phata,0.02785483346406229,2
3496,Super built-up  Area,1,97.52455138573178,1262.0,2.0,2.0,55.0,Dhole Patil Road,0.02412427541083966,2
3497,Plot  Area,1,128.2697082088187,1196.0,3.0,1.0,150.0,Erandwane,0.02286162499282585,1
3498,Super built-up  Area,0,128.2697082088187,900.0,2.0,2.0,22.5,Fatima Nagar,0.017198829178703297,2
3499,Built-up  Area,1,42.08363880588956,420.0,1.0,1.0,17.0,Fergusson College Road,0.008015917047693749,1
3500,Super built-up  Area,1,128.2697082088187,1160.0,2.0,1.0,46.39,Ganesh Peth,0.022172906583000133,2
3501,Super built-up  Area,1,128.2697082088187,1115.0,2.0,2.0,50.0,Ganeshkhind,0.02131200857071799,2
3502,Built-up  Area,1,128.2697082088187,1315.0,2.0,1.0,85.4,Ghorpade Peth,0.025138221958638633,3
3503,Built-up  Area,1,128.2697082088187,1500.0,2.0,2.0,57.0,Ghorpadi,0.02867746934246523,2
3504,Super built-up  Area,1,99.95312281430321,1127.0,2.0,1.0,68.0,Gokhale Nagar,0.021541581373993226,2
3505,Super built-up  Area,0,107.52696067931457,1397.0,3.0,2.0,104.0,Gultekdi,0.026706969447686097,3
3506,Built-up  Area,0,128.2697082088187,1173.0,2.0,1.0,60.0,Guruwar peth,0.022421610453214978,2
3507,Super built-up  Area,1,128.2697082088187,1090.0,2.0,2.0,28.0,Hadapsar,0.020833731897227908,2
3508,Super built-up  Area,1,246.86305057059545,2720.0,5.0,2.0,210.0,Hadapsar Industrial Estate,0.05201737100878116,3
3509,Super built-up  Area,0,103.9218741000072,1230.0,2.0,1.0,76.0,Hingne Khurd,0.02351208126877236,2
3510,Super built-up  Area,1,128.2697082088187,3200.0,3.0,3.0,190.0,Jangali Maharaj Road,0.06120028313979071,4
3511,Super built-up  Area,0,79.68353996668027,858.0,2.0,1.0,31.57,Kalyani Nagar,0.01639532436723996,2
3512,Super built-up  Area,0,135.52584075769704,1868.0,3.0,1.0,121.0,Karve Nagar,0.03571770197623921,3
3513,Super built-up  Area,1,101.32118597001224,1689.28,3.0,2.0,91.2,Karve Road,0.03229859769279333,3
3514,Built-up  Area,1,128.2697082088187,600.0,3.0,2.0,73.0,Kasba Peth,0.01145950909682233,4
3515,Super built-up  Area,1,128.2697082088187,1425.0,3.0,3.0,49.88,Katraj,0.02724263932199499,3
3516,Plot  Area,1,128.2697082088187,1200.0,6.0,2.0,170.0,Khadaki,0.022938149260584264,1
3517,Plot  Area,1,128.2697082088187,1350.0,2.0,1.0,100.0,Khadki,0.025807809301524747,1
3518,Built-up  Area,1,128.2697082088187,4200.0,6.0,0.0,180.0,Kharadi,0.08033135007939393,1
3519,Super built-up  Area,1,105.38169424287464,1310.0,2.0,1.0,85.0,Kondhwa,0.025042566623940617,3
3520,Super built-up  Area,1,128.2697082088187,970.0,2.0,1.0,40.0,Kondhwa Khurd,0.018538003864475523,2
3521,Super built-up  Area,0,107.52696067931457,1397.0,3.0,3.0,108.0,Koregaon Park,0.026706969447686097,3
3522,Super built-up  Area,0,100.44530995002042,1157.0,2.0,1.0,40.0,Kothrud,0.022115513382181325,2
3523,Super built-up  Area,1,128.2697082088187,1125.0,2.0,1.0,61.2,Law College Road,0.021503319240114022,2
3524,Super built-up  Area,1,81.44218597001225,1157.0,2.0,1.0,42.0,Laxmi Road,0.022115513382181325,2
3525,Super built-up  Area,1,107.44530995002042,1241.0,2.0,1.0,82.0,Lulla Nagar,0.023722523005107996,2
3526,Super built-up  Area,0,124.18345731334149,660.0,1.0,1.0,62.0,Mahatma Gandhi Road,0.012607373113198523,1
3527,Built-up  Area,1,172.63790694348359,4000.0,4.0,3.0,220.0,Mangalwar peth,0.07650513669147328,4
3528,Super built-up  Area,1,130.4765614071516,2340.0,4.0,1.0,148.0,Manik Bagh,0.044747565571731936,4
3529,Built-up  Area,1,86.20898246251531,596.0,1.0,1.0,42.0,Market yard,0.011382984829063917,1
3530,Super built-up  Area,1,128.2697082088187,10000.0,16.0,2.0,550.0,Model colony,0.19129153832909263,16
3531,Plot  Area,1,112.11197661668707,1200.0,4.0,3.0,110.0,Mukund Nagar,0.022938149260584264,1
3532,Super built-up  Area,1,139.55598830834353,1910.0,3.0,1.0,190.0,Mundhawa,0.03652120678770255,3
3533,Super built-up  Area,1,104.66740852858892,1139.0,2.0,2.0,80.0,Nagar Road,0.021771154177268465,2
3534,Super built-up  Area,1,163.15485463750218,3122.0,5.0,2.0,225.0,Nana Peth,0.05970805991850166,4
3535,Super built-up  Area,0,128.2697082088187,1033.0,2.0,2.0,28.41,Narayan Peth,0.019743261081670526,2
3536,Super built-up  Area,1,81.66943719400246,1168.0,2.0,2.0,64.08,Narayangaon,0.022325955118516958,2
3537,Super built-up  Area,1,128.2697082088187,877.0,2.0,3.0,42.0,Navi Peth,0.01675881463909242,2
